"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[10] Months",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:38",""
"skipped","Thu Jul 01 15:36:09 CST 2021","Thu Jul 01 15:36:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase4","只有操作系统是Linux才会执行",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.RepeatDemo","","junit5.RepeatDemo","repeatedTestWithRepetitionInfo","repetition 5 of 5",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","1","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo7","testDemo7",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","OnMacOrLinux","OnMacOrLinux()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","not empty",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[4] Seconds",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","TestInfo Demo","","junit5.TestInfoDemo","test2","test2()",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","junit5.RepeatDemo","","junit5.RepeatDemo","customDisplayNameWithLongPattern","Details... :: repetition 1 of 1",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testDataFromCsv","[2] 2, Two",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOnJava8Or9","onlyOnJava8Or9()",""
"skipped","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","2","","junit5.AssumptionsDemo","","junit5.AssumptionsDemo","testOnlyOnDeveloperWorkstation","testOnlyOnDeveloperWorkstation()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStreamFactoryMethod","racecar is a palindrome",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","0","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo1","testDemo1",""
"passed","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","17","","junit5.TestReporterDemo","","junit5.TestReporterDemo","reportSingleValue","reportSingleValue(TestReporter)",""
"passed","Thu Jul 01 15:36:05 CST 2021","Thu Jul 01 15:36:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStream","dad",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase5","这是重复测试",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIntStream","test2",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.SharedResourcesDemo","","junit5.SharedResourcesDemo","customPropertyIsNotSetByDefault","customPropertyIsNotSetByDefault()",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:45",""
"passed","Thu Jul 01 15:36:05 CST 2021","Thu Jul 01 15:36:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIntStream","test18",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicNodeSingleContainer","dad",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIntStream","test8",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","strValueSource","[1] value1",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStreamFactoryMethod","radar is a palindrome",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","3","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo6","testDemo6",""
"passed","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","3","","junit5.TestReporterDemo","","junit5.TestReporterDemo","reportKeyValuePair","reportKeyValuePair(TestReporter)",""
"passed","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","1","","junit5.TestReporterDemo","","junit5.TestReporterDemo","reportMultipleKeyValuePairs","reportMultipleKeyValuePairs(TestReporter)",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFourthNestedClass内嵌类的DisplayName","","junit5.NestedDemo$MyFourthNestedClass","fourthClassCase1","这是fourthClassCase1测试方法DisplayName",""
"skipped","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","1","","junit5.AssumptionsDemo","","junit5.AssumptionsDemo","testOnlyOnCiServer","testOnlyOnCiServer()",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase5","总共3次测试，这是这是重复测试第1次",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","0","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo2","testDemo2",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.MyFirstTestcase.MySecondNestedClass","","junit5.MyFirstTestcase$MySecondNestedClass","secondClassCase1","这是MySecondNestedClass内嵌类的DisplayName的secondClassCase1方法",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIterable","3rd dynamic test",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","addMemberMethodName","[3] fish",""
"skipped","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOnJava8Min","onlyOnJava8Min()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[16] Forever",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[12] Decades",""
"broken","Thu Jul 01 15:36:09 CST 2021","Thu Jul 01 15:36:09 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithInvalidReturnType","dynamicTestsWithInvalidReturnType()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[6] Hours",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","not empty",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromArray","7th dynamic test",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:72",""
"passed","Thu Jul 01 15:47:34 CST 2021","Thu Jul 01 15:47:34 CST 2021","6","Default Suite","xunit","testng.DependencyInjectionTest","testng.DependencyInjectionTest","test1","test1",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase5","总共3次测试，这是这是重复测试第3次",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[14] Millennia",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:95",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[15] Eras",""
